CENSUS_YEAR,DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,FIRST_NAME,GENDER_TOTAL_COUNT,GENDER_TOTAL_PERCENTAGE,GENDER_TOTAL_RANK,MEN+_COUNT,MEN+_PERCENTAGE,MEN+_RANK,MEN+_SYMBOL,WOMEN+_COUNT,WOMEN+_PERCENTAGE,WOMEN+_RANK,WOMEN+_SYMBOL
2021,"2021A000011124","01","Country","Canada","EVA-ROSE",305,0.001,8273,,,,"...",305,0.002,4622,""
2021,"2021A000011124","01","Country","Canada","EVE",9025,0.0303,677,,,,"...",8960,0.06,352,""
2021,"2021A000011124","01","Country","Canada","EVELIN",305,0.001,8273,,,,"...",290,0.0019,4770,""
2021,"2021A000011124","01","Country","Canada","EVELINA",835,0.0028,3944,,,,"...",830,0.0056,2094,""
2021,"2021A000011124","01","Country","Canada","EVELINE",1405,0.0047,2620,,,,"...",1390,0.0093,1381,""
2021,"2021A000011124","01","Country","Canada","EVELYN",24030,0.0806,259,,,,"...",23880,0.1599,123,""
2021,"2021A000011124","01","Country","Canada","EVELYNE",4905,0.0165,1039,,,,"...",4885,0.0327,542,""
2021,"2021A000011124","01","Country","Canada","EVELYNN",535,0.0018,5597,,,,"...",535,0.0036,2993,""
2021,"2021A000011124","01","Country","Canada","EVE-MARIE",760,0.0026,4245,,,,"...",760,0.0051,2236,""
2021,"2021A000011124","01","Country","Canada","EVEN",335,0.0011,7742,305,0.0021,3775,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","EVENS",405,0.0014,6789,375,0.0025,3229,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","EVER",285,0.001,8652,,,,"...",,,,"..."
2021,"2021A000011124","01","Country","Canada","EVEREST",250,0.0008,9426,,,,"...",,,,"..."
2021,"2021A000011124","01","Country","Canada","EVERETT",5110,0.0171,1009,5015,0.0337,464,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","EVERLEE",255,0.0009,9306,,,,"...",250,0.0017,5293,""
2021,"2021A000011124","01","Country","Canada","EVERLEIGH",1000,0.0034,3410,,,,"...",1000,0.0067,1784,""
